DWT_LSUCNT,DWT_CPICNT,DWT_EXCCNT,DWT_CYCCNT,DWT_SLEEPCNT,DWT_FOLDCNT,LSU_stim,CPI_stim,FLD_stim,EXC_stim,LEGIT,TIME,METADATA,,,,,,,,,,
4014236,4381987,6282,105948156,0,967901,0,0,155181,0,0,963,,,,,,,,,,,
7781478,8118896,14547,287515039,0,1635002,342837,243601,142736,105393,1,2613,,,,,,,,,,,
7561807,7929522,13822,255534774,0,2020771,284781,0,310743,149050,0,2323,,,,,,,,,,,
7807480,8377650,13778,260150666,0,2294861,190230,261467,60530,236418,0,2365,,,,,,,,,,,
7577381,8265326,12712,240147409,0,2600981,84051,273621,0,297626,0,2183,,,,,,,,,,,
6173589,6471346,9852,216270492,0,1163174,261660,0,348744,0,0,1966,,,,,,,,,,,
7020426,7732439,10981,204160532,0,2892753,0,51186,124464,325622,0,1856,,,,,,,,,,,
6154330,6831692,9646,191417526,0,2047947,4518,204240,71405,193736,0,1740,,,,,,,,,,,
5280404,5224903,7638,140923394,0,828779,279894,0,15484,0,0,1281,,,,,,,,,,,
4954493,4926699,7446,125730140,0,813139,232915,0,0,0,0,1143,,,,,,,,,,,
4502432,4879244,9104,133255451,0,1036753,45458,0,222805,0,0,1211,,,,,,,,,,,
4378848,4806388,8636,125339381,0,982545,0,159927,53127,19305,0,1139,,,,,,,,,,,
6225180,6771532,11699,193738124,0,2512565,0,11753,106449,243386,1,1761,,,,,,,,,,,
5156171,5753039,8786,171139869,0,1317112,13538,154394,198385,50820,0,1555,,,,,,,,,,,
5461686,5405859,8094,150746923,0,813529,298724,37282,0,0,0,1370,,,,,,,,,,,
6734550,6936073,11164,230650020,0,1167542,333190,130230,168909,30606,0,2096,,,,,,,,,,,
5861626,6208289,9016,203280231,0,1076963,211829,82375,262995,0,0,1848,,,,,,,,,,,
4524339,5043535,9247,145491921,0,1134188,0,0,320313,0,0,1322,,,,,,,,,,,
5986340,6000399,10626,184453957,0,961460,329138,0,146991,0,0,1676,,,,,,,,,,,
3555964,3756826,6834,68787087,0,812947,0,0,0,0,0,625,,,,,,,,,,,
5922180,6244907,9865,159965639,0,1837538,114197,25002,43779,163275,0,1454,,,,,,,,,,,
4549740,4994406,8131,134139895,0,1189208,14782,0,228457,24533,0,1219,,,,,,,,,,,
7029786,7343508,10949,221594370,0,1930543,248547,0,202132,152284,0,2014,,,,,,,,,,,
4856238,5402371,8394,152143105,0,1148794,0,239064,52691,47073,0,1383,,,,,,,,,,,
8111964,8262675,14338,263320177,0,2428280,334352,63090,0,247029,1,2393,,,,,,,,,,,
5483730,6159628,10268,185752385,0,1357237,0,349707,38064,84122,0,1688,,,,,,,,,,,
5766177,6120183,8894,198810888,0,813950,198574,340239,0,0,0,1807,,,,,,,,,,,
4967405,5421246,9356,139687775,0,1367610,12683,154208,23087,88439,0,1269,,,,,,,,,,,
8413639,8947021,12927,270048326,0,2901736,225854,0,242099,307334,0,2455,,,,,,,,,,,
6735035,7305784,12319,175189904,0,2865615,0,14486,26053,337432,0,1592,,,,,,,,,,,
7900146,8614017,12961,255240855,0,2989622,103186,0,299340,312480,0,2320,,,,,,,,,,,
3999897,4133591,6007,87067643,0,812648,74772,0,0,0,0,791,,,,,,,,,,,
6140198,6687764,10935,164055861,0,2343115,0,92965,0,254767,0,1491,,,,,,,,,,,
7293768,7551222,10537,234644303,0,1819759,306889,44948,167212,139668,0,2133,,,,,,,,,,,
7490860,7865500,12975,267504019,0,2106044,266973,0,294422,151427,1,2431,,,,,,,,,,,
8297007,8732464,14087,274068677,0,2549895,284864,0,275552,243064,0,2491,,,,,,,,,,,
5942625,6614423,9695,187065569,0,1863733,0,246009,48179,166908,0,1700,,,,,,,,,,,
7629930,8495304,14340,245418077,0,3073949,0,110370,220930,339526,0,2231,,,,,,,,,,,
7098852,7374665,10278,193924264,0,2358697,199919,0,13049,255221,0,1763,,,,,,,,,,,
6608419,7429179,12801,227172111,0,2142894,0,266009,163164,194065,0,2065,,,,,,,,,,,
5433337,5546968,9497,137392673,0,1364598,173030,0,0,91788,0,1249,,,,,,,,,,,
4023593,4331324,6890,102049370,0,829649,17670,104175,16683,0,0,927,,,,,,,,,,,
6315214,6792624,10152,172443194,0,2241169,56448,90632,0,237827,0,1567,,,,,,,,,,,
6014198,6226461,8844,176039931,0,1418266,212278,63639,58665,90964,0,1600,,,,,,,,,,,
5178983,5414926,9088,158421275,0,1017257,167372,0,203430,0,0,1440,,,,,,,,,,,
5226925,5232808,9931,147521082,0,993637,225730,20349,0,22602,1,1341,,,,,,,,,,,
4528172,5045087,9280,145570173,0,1134515,0,0,320639,0,0,1323,,,,,,,,,,,
8357089,9271129,13263,306977112,0,2661057,120144,319162,230828,269096,0,2790,,,,,,,,,,,
6152016,6588475,10794,188642001,0,1694345,117314,155122,62629,136201,0,1714,,,,,,,,,,,
6298258,6798780,11930,157031587,0,2616410,0,0,11456,298369,0,1427,,,,,,,,,,,
5405953,5694011,10235,174744742,0,1077993,175210,0,263594,0,0,1588,,,,,,,,,,,
6206407,6486917,9353,199678707,0,1423145,229762,0,238016,61844,0,1815,,,,,,,,,,,
7865364,8524726,13279,242677847,0,2830621,101805,220340,0,335835,0,2206,,,,,,,,,,,
5762063,6000262,9060,189638326,0,962558,235688,115617,148427,0,0,1724,,,,,,,,,,,
4824480,5138872,9896,145760959,0,1035035,98427,0,220948,0,0,1325,,,,,,,,,,,
5837000,5823700,8623,174117646,0,919499,327287,0,105719,0,0,1582,,,,,,,,,,,
7740862,7995456,12616,240232623,0,2664415,238656,17163,0,286475,1,2184,,,,,,,,,,,
5907735,6175520,11369,157214704,0,1753704,127698,51605,0,156511,0,1429,,,,,,,,,,,
3619067,3853290,5335,74459486,0,836085,0,0,23689,0,0,676,,,,,,,,,,,
5834488,6155426,8766,165128442,0,1568800,132606,116332,0,125850,0,1501,,,,,,,,,,,
6495777,7193408,10515,197507328,0,2375654,0,149464,95807,244225,0,1795,,,,,,,,,,,
9025519,9533478,15806,296376864,0,2766793,282730,272781,0,325048,0,2694,,,,,,,,,,,
8471954,9032633,15518,307085305,0,2205085,291910,237939,227603,193502,0,2791,,,,,,,,,,,
6235414,6964329,11603,203669664,0,1898256,0,347200,0,180551,0,1851,,,,,,,,,,,
5927345,6184037,10200,154649043,0,1830889,132706,0,25362,165218,0,1405,,,,,,,,,,,
4553112,4913056,7327,109641895,0,1414244,0,0,63338,89639,0,996,,,,,,,,,,,
7905112,8767532,13249,259818811,0,2859842,35831,344574,11042,338891,0,2362,,,,,,,,,,,
5231493,5671047,8892,145619996,0,1771276,0,87675,0,152314,1,1323,,,,,,,,,,,
5117887,5587619,10288,140317246,0,1538125,0,154335,0,120642,0,1275,,,,,,,,,,,
6528380,6694926,10489,195199811,0,1467705,269643,122308,0,108882,0,1774,,,,,,,,,,,
6851377,7516903,12585,214840828,0,2538370,48231,0,271077,242000,0,1953,,,,,,,,,,,
4044937,4238545,7362,94416586,0,863762,55127,0,50744,0,0,858,,,,,,,,,,,
4350926,4676766,7773,101505472,0,1236977,0,52111,0,70626,0,922,,,,,,,,,,,
6016516,6268792,8971,204170456,0,1113390,260560,0,299338,0,0,1856,,,,,,,,,,,
5491577,5554743,9278,142342080,0,1241069,212948,0,5685,70253,0,1294,,,,,,,,,,,
4401919,4861040,7274,129931305,0,966754,0,172919,64685,14813,0,1181,,,,,,,,,,,
6454636,6695671,9776,226924603,0,1111751,311902,44494,297447,0,0,2063,,,,,,,,,,,
3842608,4058023,7593,85398912,0,813115,24227,44632,0,0,0,776,,,,,,,,,,,
6144909,6762098,10083,177623981,0,2352174,0,0,184605,225536,0,1614,,,,,,,,,,,
5468645,6245118,9585,206128240,0,1299469,0,257556,273793,35246,0,1873,,,,,,,,,,,
6278086,6660533,12702,206193579,0,2078710,109991,0,153946,163169,1,1874,,,,,,,,,,,
5416305,5386300,9841,150659894,0,814086,279903,56134,0,0,0,1369,,,,,,,,,,,
5825270,6210897,8570,161919257,0,1738645,91221,111306,0,154158,0,1472,,,,,,,,,,,
5236948,5651119,7668,125668832,0,1889220,0,22938,0,179328,0,1142,,,,,,,,,,,
6432927,6408092,10862,178256472,0,1416839,323930,0,7859,99083,0,1620,,,,,,,,,,,
7977508,8483810,11859,275662748,0,2313762,263716,27511,335089,193925,0,2506,,,,,,,,,,,
3742872,3911539,6936,76214585,0,812838,30380,0,0,0,0,692,,,,,,,,,,,
4921934,5187236,7226,146503411,0,813217,135802,185892,0,0,0,1331,,,,,,,,,,,
5021745,5686563,9792,180222062,0,1207838,0,125861,325970,11290,0,1638,,,,,,,,,,,
