DWT_LSUCNT,DWT_CPICNT,DWT_EXCCNT,DWT_CYCCNT,DWT_SLEEPCNT,DWT_FOLDCNT,LSU_stim,CPI_stim,FLD_stim,EXC_stim,LEGIT,TIME,METADATA
7311110,7394866,11462,225316713,0,1886241,256886,178351,0,178551,0,2048,
6821832,7420430,12199,227305187,0,2263917,0,280389,116371,222108,0,2066,
6256532,6628869,10575,174274897,0,2368666,0,44429,108190,241057,0,1584,
5035632,5251482,8358,163686111,0,909326,79900,219828,95646,0,0,1488,
5004947,5457996,10230,179564232,0,1094775,0,182977,280377,0,0,1632,
9266859,9943278,16127,339802971,0,2924721,192215,301023,268061,306640,0,3089,
4768828,4962834,9298,146885640,0,964169,57520,117927,150239,0,0,1335,
4947866,5163767,9552,166513128,0,1483946,13016,0,219331,53370,1,1513,
5629835,6131368,10740,217157645,0,1113502,52123,268302,298823,0,0,1974,
6390416,6717958,10684,193743515,0,2081658,69821,61521,171011,182685,0,1761,
3696332,3700616,6079,75632966,0,812582,0,29344,0,0,0,687,
3855275,3850589,5844,83757968,0,854947,20473,0,42372,0,0,761,
5476394,5470105,9510,154866453,0,1244736,167879,8374,118050,52113,0,1407,
4880540,5131545,9834,157152780,0,1130634,52162,0,316512,0,0,1428,
5744360,5668554,9109,151657676,0,1430584,190898,0,36034,96784,0,1378,
5968780,6288382,10663,158675167,0,2261765,0,0,109045,223044,0,1442,
7105245,7114247,11877,227396978,0,1639920,306272,47962,172210,108773,0,2067,
6936979,7427407,12208,211436879,0,2432775,16946,256320,0,269603,0,1922,
6840987,7133721,11675,228776876,0,1861045,165362,92287,248597,132916,0,2079,
3979255,4043414,8631,111316126,0,952516,0,45270,51430,0,1,1012,
6886754,7167887,12641,242739395,0,1638574,208225,104954,306511,86120,0,2206,
5513775,5179540,8571,146017318,0,813654,316639,0,0,0,0,1327,
6819772,6993431,11637,255461240,0,1045984,293447,249789,230919,0,0,2322,
6740749,7212752,11443,198759416,0,2667811,0,0,217024,272659,0,1806,
5168435,4895112,8677,131938698,0,813721,259053,0,0,0,0,1199,
6545542,6946544,12229,222668507,0,1767883,100928,199638,188102,127419,0,2024,
7217589,7601806,12706,207611043,0,2745489,58951,67373,84488,307686,0,1887,
6644483,6669866,11632,195500209,0,1645070,230100,129308,0,138363,0,1777,
5975483,5825381,9339,164239600,0,1311935,256372,0,47796,75015,0,1493,
5475200,5755498,10187,184653327,0,1020097,90926,308661,52542,25533,0,1678,
5410586,5144295,8521,156702626,0,857709,276331,34837,0,0,1,1424,
6035269,6329352,10804,155341534,0,2272934,0,71085,0,243118,0,1412,
4899449,5123705,8761,132241417,0,1507723,0,0,158915,89208,0,1202,
5920261,6045869,11321,198259077,0,1233602,198060,0,319377,16570,0,1802,
4895331,4874132,7991,137519169,0,954845,143344,0,141431,0,0,1250,
6431863,7020560,11219,224275608,0,1958901,6362,244430,213407,155111,0,2038,
7755431,7968636,13737,252804049,0,2179066,249927,107339,168146,199224,0,2298,
6729836,7181639,10978,194653274,0,2564306,0,122779,67962,280289,0,1769,
3954017,4045076,7493,95769364,0,813164,0,113432,0,0,0,870,
7891266,8006265,13162,238601659,0,2329154,264899,118023,24168,248246,0,2169,
5536873,6004901,10606,187725700,0,1381512,0,305285,98644,78090,0,1706,
6782001,7269898,13353,232964548,0,2682941,0,0,284013,242183,1,2117,
6205493,6461403,10177,191289911,0,1877014,103494,0,243096,136595,0,1739,
8359017,8822372,13855,293152686,0,2413485,206491,286280,152137,240902,0,2665,
6771624,6734796,10844,206597725,0,1456492,286392,155758,0,106979,0,1878,
5178956,5192111,9195,140840832,0,1206397,129375,20909,87861,50771,0,1280,
7275874,8004252,13637,257257904,0,2536278,0,197744,308176,235404,0,2338,
7060007,7459618,11591,205424930,0,2624582,46937,107976,67818,290318,0,1867,
5161279,4887616,8578,131649339,0,813650,257870,0,0,0,0,1196,
6706489,7229297,11763,209333313,0,2563718,0,0,298183,241755,0,1903,
5058395,5244759,8966,162530472,0,1112455,91748,0,298555,0,0,1477,
7217852,7769912,12137,233957812,0,2772904,0,166844,113457,300030,1,2126,
4833976,5221556,9264,166074448,0,940192,0,280844,126178,0,0,1509,
4675658,5009493,8714,153253915,0,1075947,0,91244,262237,0,0,1393,
3817015,3865955,7308,84861746,0,813049,0,67882,0,0,0,771,
6531598,6712848,11582,238598723,0,1033001,256461,257156,184122,5654,0,2169,
6350703,6608979,11073,173957493,0,2168474,59611,108901,0,225635,0,1581,
